,ENCnum,ENCtime
460,4294966837.0,19372442.0
461,4294966836.0,19376571.0
462,4294966835.0,19380705.0
463,4294966834.0,19384839.0
464,4294966833.0,19388974.0
465,4294966832.0,19393103.0
466,4294966831.0,19397226.0
467,4294966830.0,19401345.0
468,4294966829.0,19405456.0
469,4294966828.0,19409558.0
470,4294966827.0,19413652.0
471,4294966826.0,19417736.0
472,4294966825.0,19421804.0
473,4294966824.0,19425855.0
474,4294966823.0,19429893.0
475,4294966822.0,19433920.0
476,4294966821.0,19437942.0
477,4294966820.0,19441948.0
478,4294966819.0,19445939.0
479,4294966818.0,19449915.0
480,4294966817.0,19453876.0
481,4294966816.0,19457832.0
482,4294966815.0,19461792.0
483,4294966814.0,19465746.0
484,4294966813.0,19469702.0
485,4294966812.0,19473648.0
486,4294966811.0,19477601.0
487,4294966810.0,19481560.0
488,4294966809.0,19485518.0
489,4294966808.0,19489478.0
490,4294966807.0,19493436.0
491,4294966806.0,19497405.0
492,4294966805.0,19501365.0
493,4294966804.0,19505318.0
494,4294966803.0,19509262.0
495,4294966802.0,19513204.0
496,4294966801.0,19517138.0
497,4294966800.0,19521078.0
498,4294966799.0,19525013.0
499,4294966798.0,19528944.0
500,4294966797.0,19532868.0
501,4294966796.0,19536782.0
502,4294966795.0,19540691.0
503,4294966794.0,19544596.0
504,4294966793.0,19548491.0
505,4294966792.0,19552383.0
506,4294966791.0,19556270.0
507,4294966790.0,19560149.0
508,4294966789.0,19564021.0
509,4294966788.0,19567885.0
510,4294966787.0,19571743.0
511,4294966786.0,19575603.0
512,4294966785.0,19579464.0
513,4294966784.0,19583327.0
514,4294966783.0,19587190.0
515,4294966782.0,19591055.0
516,4294966781.0,19594909.0
517,4294966780.0,19598758.0
518,4294966779.0,19602609.0
519,4294966778.0,19606467.0
520,4294966777.0,19610324.0
521,4294966776.0,19614185.0
522,4294966775.0,19618048.0
523,4294966774.0,19621906.0
524,4294966773.0,19625756.0
525,4294966772.0,19629605.0
526,4294966771.0,19633451.0
527,4294966770.0,19637295.0
528,4294966769.0,19641143.0
529,4294966768.0,19644982.0
530,4294966767.0,19648808.0
531,4294966766.0,19652628.0
532,4294966765.0,19656430.0
